a,b
salut,6448
salut,6505
salut,6505
salut,6468
salut,6340
salut,6425
salut,6415
salut,6390
salut,6340
salut,6240
salut,6314
salut,6160
salut,6035
salut,6210
salut,6245
salut,6450
salut,6578
salut,6430
salut,6550
salut,6398
salut,6507
salut,6525
salut,6496
salut,6430
salut,6495
salut,6458
salut,6475
salut,6500
salut,6489
salut,6618
salut,6540
salut,6600
salut,6661
salut,6770
salut,6671
salut,6621
salut,6630
salut,6575
salut,6598
salut,6664
salut,6613
salut,6630
salut,6630
salut,6716
salut,6611
salut,6731
salut,6640
salut,6740
salut,6639
salut,6694
salut,6670
salut,6739
salut,6765
salut,6730
salut,6713
salut,6715
salut,6610
salut,6730
salut,6690
salut,6665
salut,6487
salut,6437
salut,6480
salut,6480
salut,6483
salut,6515
salut,6514
salut,6541
salut,6419
salut,6545
salut,6450
salut,6385
salut,6247
salut,6235
salut,6256
salut,6550
salut,6499
salut,6650
salut,6695
salut,6715
salut,6792
salut,6745
salut,6745
salut,6755
salut,6771
salut,6706
salut,6755
salut,6680
salut,6727
salut,6661
salut,6715
salut,6711
salut,6687
salut,6850
salut,6728
salut,6650
salut,6735
salut,6540
salut,6510
salut,6425
salut,6580
salut,6500
salut,6472
salut,6440
salut,6520
salut,6548
salut,6505
salut,6510
salut,6477
salut,6580
salut,6525
salut,6621
salut,6710
salut,6792
salut,6795
salut,6813
salut,6901
salut,6895
salut,6960
salut,6901
salut,6910
salut,6945
salut,6835
salut,6982
salut,6945
salut,6965
salut,6961
salut,6966
salut,7007
salut,7000
salut,7000
salut,7100
salut,7145
salut,7105
salut,7075
salut,7020
salut,7097
salut,7095
salut,7195
salut,7190
salut,7086
salut,7120
salut,7105
salut,7040
salut,7008
salut,7055
salut,7034
salut,6928
salut,6880
salut,6997
salut,7025
salut,6964
salut,6907
salut,6855
salut,6816
salut,6810
salut,6590
salut,6741
salut,6771
salut,6744
salut,6839
salut,6852
salut,6900
salut,7000
salut,7135
salut,7170
salut,7065
salut,7130
salut,7125
salut,7177
salut,7210
salut,7195
salut,7235
salut,7237
salut,7265
salut,7255
salut,7315
salut,7306
salut,7395
salut,7365
salut,7405
salut,7390
salut,7256
salut,7275
salut,7281
salut,7370
salut,7266
salut,7285
salut,7275
salut,7377
salut,7521
salut,7484
salut,7540
salut,7625
salut,7720
salut,7850
salut,7880
salut,7860
salut,7861
salut,7805
salut,7873
salut,7850
salut,7795
salut,7895
salut,7860
salut,7825
salut,7858
salut,7885
salut,7922
salut,7999
salut,7962
salut,8063
salut,8112
salut,8370
salut,8320
salut,8242
salut,8375
salut,8471
salut,8620
salut,8666
salut,8635
salut,8416
salut,8454
salut,8428
salut,8345
salut,8426
salut,8540
salut,8589
salut,8747
salut,8848
salut,8761
salut,8800
salut,8945
salut,8821
salut,8576
salut,8589
salut,8640
salut,8425
salut,8300
salut,8446
salut,8604
salut,8497
salut,8280
salut,8360
salut,8350
salut,8121
salut,8360
salut,8400
salut,8379
salut,8200
salut,8083
salut,8146
salut,8195
salut,8060
salut,7777
salut,7940
salut,8201
salut,8510
salut,8565
salut,8525
salut,8490
salut,8555
salut,8406
salut,8348
salut,8385
salut,8194
salut,8264
salut,8299
salut,8135
salut,8128
salut,8027
salut,8040
salut,8003
salut,8010
salut,8145
salut,8070
salut,7959
salut,7811
salut,7950
salut,7932
salut,8290
salut,8069
salut,7945
salut,8075
salut,8218
salut,8000
salut,7940
salut,7846
salut,7742
salut,7870
salut,7788
salut,8016
salut,7910
salut,7955
salut,7825
salut,7680
salut,7622
salut,7665
salut,7600
salut,7720
salut,7883
salut,7868
salut,7762
salut,7700
salut,7700
salut,7685
salut,7524
salut,7404
salut,7596
salut,7400
salut,7475
salut,7500
salut,7575
salut,7536
salut,7444
salut,7330
salut,7213
salut,7379
salut,7436
salut,7507
salut,7556
salut,7510
salut,7535
salut,7551
salut,7705
salut,7620
salut,7770
salut,7815
salut,7917
salut,7957
salut,7950
salut,7935
salut,7998
salut,8250
salut,8397
salut,8362
salut,8369
salut,8250
salut,8195
salut,8220
salut,8325
salut,8239
salut,8245
salut,8252
salut,8274
salut,8290
salut,8173
salut,8310
salut,8260
salut,8075
salut,7917
salut,8025
salut,8060
salut,8001
salut,8006
salut,7947
salut,7998
salut,8073
salut,8425
salut,8575
salut,8640
salut,8570
salut,8569
salut,8640
salut,8792
salut,8905
salut,8905
salut,8985
salut,9110
salut,8925
salut,9000
salut,8815
salut,8824
salut,8910
salut,8960
salut,8955
salut,8959
salut,9160
salut,9130
salut,9007
salut,8977
salut,9003
salut,9082
salut,8930
salut,9017
salut,9075
salut,8900
salut,9018
salut,8980
salut,8965
salut,8895
salut,8915
salut,8885
salut,8925
salut,8890
salut,8834
salut,8978
salut,8861
salut,8893
salut,8804
salut,8897
salut,8854
salut,8825
salut,8802
salut,8913
salut,8845
salut,8751
salut,8501
salut,8735
salut,8730
salut,8600
salut,8505
salut,8575
salut,8930
salut,8995
salut,9105
salut,9045
salut,9100
salut,9059
salut,8956
salut,8935
salut,8955
salut,8920
salut,8927
salut,9002
salut,9198
salut,9150
salut,9030
salut,9110
salut,9021
salut,9048
salut,8800
salut,8740
salut,8660
salut,8787
salut,8696
salut,8803
salut,8782
salut,8898
salut,8970
salut,8900
salut,9090
salut,8945
salut,8998
salut,9104
salut,9050
salut,9032
salut,9016
salut,9040
salut,8979
salut,9088
salut,9060
salut,9028
salut,9011
salut,8962
salut,8890
salut,8932
salut,8991
salut,9020
salut,9097
salut,8995
salut,9090
salut,8998
salut,9110
salut,9100
salut,9030
salut,9045
salut,9349
salut,9377
salut,9410
salut,9490
salut,9464
salut,9454
salut,9425
salut,9402
salut,9315
salut,9308
salut,9408
salut,9435
salut,9380
salut,9441
salut,9387
salut,9375
salut,9281
salut,9340
salut,9398
salut,9450
salut,9534
salut,9707
salut,9642
salut,9724
salut,9595
salut,9590
salut,9830
salut,9852
salut,9847
salut,10069
salut,10145
salut,10100
salut,9994
salut,9897
salut,9829
salut,9670
salut,9825
salut,9755
salut,9712
salut,9900
salut,9952
salut,9803
salut,9740
salut,9710
salut,9608
salut,9664
salut,9600
salut,9540
salut,9431
salut,9500
salut,9536
salut,9672
salut,9680
salut,9752
salut,9813
salut,10099
salut,10060
salut,10048
salut,10050
salut,10118
salut,10200
salut,10191
salut,10185
salut,10163
salut,10280
salut,10448
salut,10345
salut,10698
salut,10606
salut,10360
salut,10460
salut,10654
salut,10303
salut,10502
salut,10550
salut,10449
salut,10370
salut,10310
salut,10079
salut,9695
salut,9946
salut,10033
salut,9700
salut,9520
salut,9479
salut,9626
salut,9683
salut,9750
salut,9895
salut,9678
salut,9807
salut,9799
salut,9650
salut,9674
salut,9800
salut,9610
salut,9520
salut,9554
salut,9520
salut,9501
salut,9598
salut,9721
salut,9860
salut,9840
salut,9880
salut,9860
salut,9940
salut,9994
salut,10235
salut,10300
salut,10274
salut,10530
salut,10445
salut,10520
salut,10545
salut,10662
salut,10533
salut,10515
salut,10540
salut,10326
salut,10132
salut,10089
salut,9950
salut,9611
salut,9598
salut,9450
salut,9652
salut,9536
salut,9654
salut,9316
salut,9576
salut,9569
salut,9488
salut,9625
salut,9578
salut,9725
salut,9815
salut,9830
salut,9662
salut,9759
salut,9800
salut,9700
salut,9697
salut,9508
salut,9425
salut,9383
salut,9414
salut,9146
salut,9200
salut,8960
salut,8831
salut,8678
salut,8850
salut,9050
salut,9057
salut,9261
salut,9361
salut,9460
salut,9250
salut,9143
salut,9090
salut,9150
salut,9236
salut,9325
salut,9264
salut,8800
salut,8667
salut,8854
salut,8821
salut,8787
salut,8775
salut,8708
salut,8804
salut,8955
salut,9000
salut,8999
salut,8900
salut,8814
salut,8757
salut,8707
salut,8632
salut,8625
salut,8311
salut,7970
salut,7986
salut,8177
salut,8133
salut,8147
salut,7781
salut,8120
salut,8025
salut,7453
salut,7550
salut,7756
salut,7865
salut,7715
salut,7857
salut,7970
salut,8178
salut,8337
salut,8278
salut,8161
salut,8190
salut,7871
salut,7948
salut,7946
salut,8180
salut,8435
salut,8567
salut,8506
salut,8611
salut,8447
salut,8412
salut,8251
salut,8326
salut,8512
salut,8422
salut,8351
salut,8403
salut,7932
salut,7978
salut,7982
salut,8055
salut,7899
salut,7653
salut,7478
salut,7371
salut,7181
salut,7579
salut,7446
salut,7700
salut,7698
salut,7355
salut,7525
salut,7688
salut,7566
salut,7586
salut,7444
salut,7400
salut,7502
salut,7610
salut,7655
salut,7604
salut,7653
salut,7451
salut,7672
salut,7845
salut,7765
salut,7668
salut,7756
salut,7631
salut,7640
salut,7750
salut,7871
salut,7932
salut,8065
salut,8249
salut,8338
salut,8501
salut,8454
salut,8583
salut,8486
salut,8632
salut,8532
salut,8559
salut,8603
salut,8471
salut,8443
salut,8440
salut,8499
salut,8530
salut,8571
salut,8584
salut,8556
salut,8705
salut,8541
salut,8105
salut,8121
salut,8160
salut,8325
salut,8182
salut,8240
salut,8261
salut,8150
salut,7754
salut,7819
salut,7654
salut,7340
salut,7346
salut,7344
salut,7401
salut,7476
salut,7477
salut,7538
salut,7337
salut,7505
salut,7780
salut,7623
salut,7524
salut,7228
salut,6875
salut,6774
salut,6663
salut,6495
salut,6582
salut,6401
salut,6466
salut,6443
salut,6606
salut,6595
salut,6535
salut,6440
salut,6206
salut,6391
salut,6605
salut,6711
salut,6850
salut,6858
salut,6732
salut,6560
salut,6300
salut,6382
salut,6264
salut,6359
salut,6300
salut,6139
salut,6208
salut,6187
salut,6490
salut,6506
salut,6487
salut,6789
salut,6689
salut,6607
salut,6374
salut,6477
salut,6450
salut,6348
salut,6299
salut,6297
salut,6394
salut,6491
salut,6409
salut,6357
salut,6478
salut,6625
salut,6700
salut,6569
salut,6501
salut,6252
salut,6247
salut,6392
salut,6358
salut,6113
salut,6238
salut,6181
salut,6102
salut,6088
salut,5769
salut,6074
salut,5933
salut,5891
salut,5754
salut,5767
salut,5674
salut,5750
salut,5629
salut,5676
salut,5633
salut,5400
salut,5177
salut,5179
salut,4841
salut,4783
salut,4013
salut,4357
salut,4863
salut,4418
salut,4264
salut,4395
salut,4474
salut,4632
salut,4416
salut,4320
salut,4250
salut,4570
salut,4645
salut,4881
salut,5228
salut,5062
salut,5190
salut,5441
salut,5250
salut,4897
salut,4658
salut,4730
salut,4460
salut,4323
salut,4203
salut,4201
salut,4061
salut,4060
salut,3928
salut,3698
salut,3718
salut,4005
salut,4055
salut,3935
salut,4128
salut,4117
salut,4164
salut,4054
salut,4023
salut,3984
salut,3800
salut,4035
salut,4157
salut,4149
salut,4065
salut,3956
salut,3960
salut,3921
salut,4116
salut,4131
salut,4132
salut,4065
salut,4125
salut,4024
salut,4012
salut,3976
salut,4038
salut,4008
salut,4159
salut,4267
salut,4280
salut,4550
salut,4685
salut,4510
salut,4450
salut,4480
salut,4428
salut,4338
salut,4188
salut,4107
salut,4145
salut,4208
salut,4075
salut,4173
salut,4091
salut,4246
salut,4329
salut,4347
salut,4276
salut,4076
salut,4173
salut,4145
salut,4212
salut,4175
salut,4252
salut,4280
salut,4129
salut,4051
salut,3958
salut,3989
salut,3949
salut,3877
salut,3824
salut,3673
salut,3673
salut,3444
salut,3527
salut,3450
salut,3230
salut,3096
salut,2970
salut,2986
salut,2922
salut,2961
salut,2998
salut,3142
salut,3259
salut,3301
salut,3372
salut,3374
salut,3392
salut,3429
salut,3386
salut,3322
salut,3320
salut,3488
salut,3603
salut,3732
salut,3823
salut,3663
salut,3590
salut,3452
salut,3616
salut,3723
salut,3748
salut,3751
salut,3650
salut,3768
salut,3915
salut,3697
salut,3651
salut,3663
salut,3762
salut,3855
salut,3765
salut,3666
salut,3785
salut,3729
salut,3810
salut,3799
salut,3911
salut,3909
salut,4107
salut,4031
salut,4190
salut,4192
salut,4330
salut,4447
salut,4396
salut,4526
salut,4454
salut,4318
salut,4294
salut,4327
salut,4425
salut,4436
salut,4505
salut,4399
salut,4347
salut,4294
salut,4261
salut,4389
salut,4399
salut,4461
salut,4554
salut,4770
salut,4871
salut,4863
salut,5216
salut,5249
salut,5339
salut,5282
salut,5183
salut,5076
salut,5090
salut,4957
salut,4855
salut,4843
salut,4918
salut,4783
salut,4439
salut,4314
salut,4140
salut,4211
salut,4215
salut,4363
salut,4263
salut,4181
salut,4083
salut,4038
salut,4050
salut,3912
salut,3975
salut,3920
salut,3968
salut,4039
salut,4077
salut,4101
salut,4225
salut,4171
salut,4282
salut,4240
salut,4200
salut,4195
salut,4200
salut,4199
salut,4300
salut,4394
salut,4332
salut,4318
salut,4364
salut,4363
salut,4429
salut,4589
salut,4641
salut,4533
salut,4645
salut,4582
salut,4416
salut,4400
salut,4350
salut,4354
salut,4518
salut,4651
salut,4750
salut,4807
salut,5137
salut,5168
salut,5017
salut,4921
salut,4859
salut,4867
salut,4874
salut,4973
salut,4970
salut,5042
salut,5064
salut,5099
salut,5126
salut,5244
salut,5225
salut,5302
salut,5260
salut,5296
salut,5335
salut,5223
salut,5186
salut,5182
salut,5328
salut,5486
salut,5385
salut,5119
salut,5175
salut,5154
salut,5218
salut,5230
salut,5249
salut,5266
salut,5164
salut,5231
salut,5203
salut,5119
salut,5332
salut,5171
salut,5107
salut,5033
salut,5106
salut,4985
salut,4830
salut,4772
salut,4831
salut,4870
salut,4782
salut,4817
salut,4828
salut,4849
salut,4971
salut,5001
salut,5107
salut,5078
salut,5062
salut,4998
salut,5100
salut,5242
salut,5259
salut,5154
salut,5112
salut,5250
salut,5208
salut,5197
salut,5293
salut,5135
salut,5243
salut,5275
salut,5404
salut,5399
salut,5475
salut,5520
salut,5599
salut,5575
salut,5565
salut,5547
salut,5602
salut,5637
salut,5611
salut,5490
salut,5470
salut,5336
salut,5438
salut,5541
salut,5526
salut,5548
salut,5533
salut,5534
salut,5486
salut,5413
salut,5413
salut,5572
salut,5625
salut,5823
salut,5951
salut,6154
salut,6195
salut,6007
salut,6061
salut,6103
salut,6082
salut,6082
salut,6060
salut,6033
salut,6030
salut,5862
salut,5835
salut,5754
salut,5884
salut,6215
salut,6280
salut,6074
salut,6129
salut,6152
salut,6095
salut,5921
salut,5833
salut,5862
salut,5971
salut,5975
salut,5965
salut,5965
salut,6042
salut,6139
salut,6178
salut,6265
salut,6358
salut,6381
salut,6300
salut,6272
salut,6309
salut,6305
salut,6464
salut,6458
salut,6509
salut,6606
salut,6801
salut,6757
salut,6814
salut,7008
salut,7048
salut,6937
salut,6924
salut,6897
salut,6935
salut,7320
salut,7166
salut,7254
salut,7242
salut,7295
salut,7266
salut,7308
salut,7384
salut,7292
salut,7299
salut,7299
salut,7299
salut,7184
salut,7216
salut,7189
salut,7226
salut,7215
salut,7154
salut,7083
salut,7134
salut,7210
salut,7027
salut,7154
salut,7151
salut,7446
salut,7504
salut,7458
salut,7465
salut,7295
salut,7300
salut,7380
salut,7262
salut,7331
salut,7190
salut,7066
salut,6829
salut,6996
salut,7031
salut,7204
salut,7266
salut,7108
salut,7036
salut,6989
salut,6685
salut,6500
salut,6199
salut,6366
salut,6100
salut,6360
salut,6486
salut,6418
salut,6418
salut,6427
salut,6339
salut,6484
salut,6325
salut,6169
salut,6033
salut,6148
salut,6281
salut,6316
salut,6622
salut,6567
salut,6693
salut,6748
salut,6738
salut,6895
salut,6797
salut,6642
salut,6717
salut,6731
salut,6843
salut,6611
salut,6305
salut,6248
salut,6194
salut,6194
salut,6271
salut,6148
salut,6409
salut,6520
salut,6455
salut,6515
salut,6429
salut,6565
salut,6396
salut,6272
salut,6226
salut,6440
salut,6402
salut,6649
salut,6815
salut,6925
salut,6762
salut,6785
salut,6661
salut,6901
salut,6931
salut,6942
salut,6873
salut,6803
salut,6917
salut,6829
salut,6718
salut,6465
salut,6459
salut,6427
salut,6516
salut,6605
salut,6574
salut,6420
salut,6509
salut,6255
salut,6049
salut,6136
salut,6113
salut,6300
salut,6200
salut,6179
salut,6234
salut,6464
salut,6464
salut,6425
salut,6360
salut,6551
salut,6338
salut,6473
salut,6402
salut,6249
salut,6239
salut,6326
salut,6299
salut,6380
salut,6438
salut,6331
salut,6352
salut,6461
salut,6385
salut,6471
salut,6709
salut,6754
salut,6657
salut,6702
salut,6861
salut,6897
salut,6847
salut,6951
salut,7016
salut,7073
salut,7173
salut,7185
salut,7019
salut,6957
salut,7000
salut,7161
salut,7138
salut,7168
salut,7110
salut,7087
salut,7130
salut,7115
salut,7071
salut,7085
salut,6966
salut,7000
salut,7085
salut,7006
salut,7027
salut,6769
salut,6655
salut,6501
salut,6335
salut,6335
salut,6267
salut,6335
salut,6453
salut,6302
salut,6343
salut,6541
salut,6509
salut,6433
salut,6373
salut,6466
salut,6562
salut,6658
salut,6641
salut,6704
salut,6619
salut,6561
salut,6463
salut,6423
salut,6385
salut,6429
salut,6433
salut,6489
salut,6474
salut,6361
salut,6445
salut,6506
salut,6473
salut,6481
salut,6500
salut,6511
salut,6490
salut,6615
salut,6679
salut,6655
salut,6746
salut,6916
salut,6942
salut,6947
salut,6960
salut,7029
salut,7007
salut,7086
salut,7268
salut,7135
salut,7191
salut,7152
salut,7249
salut,6999
salut,7001
salut,7080
salut,6926
salut,7000
salut,6983
salut,7100
salut,7090
salut,7143
salut,7217
salut,7239
salut,7243
salut,7224
salut,7270
salut,7192
salut,7171
salut,7242
salut,7304
salut,7235
salut,7094
salut,7035
salut,7394
salut,7247
salut,7193
salut,7011
salut,7013
salut,7180
salut,7160
salut,7148
salut,7201
salut,7131
salut,7029
salut,7117
salut,6834
salut,6923
salut,6858
salut,6921
salut,7029
salut,7118
salut,7162
salut,7324
salut,7294
salut,7350
salut,7307
salut,7393
salut,7381
salut,7429
salut,7338
salut,7351
salut,7333
salut,7374
salut,7466
salut,7365
salut,7322
salut,7333
salut,7183
salut,7245
salut,7272
salut,7297
salut,7421
salut,7544
salut,7551
salut,7531
salut,7603
salut,7603
salut,7888
salut,8035
salut,7924
salut,7970
salut,7852
salut,7914
salut,7931
salut,7976
salut,7964
salut,7904
salut,7961
salut,7866
salut,7761
salut,7678
salut,7741
salut,7789
salut,7655
salut,7646
salut,7526
salut,7654
salut,7699
salut,7780
salut,7795
salut,7544
salut,7471
salut,7476
salut,7479